feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
0.032719854,0.024380857,0,0.055773873,0,0.021377271,0,0,0,0,0,0,0.004602093,0.017224193,0,0.03400157,0,0.016360097,0.033324428,0,0,0,0,0.04632421,0,0.04805052,0.026256265,0,0,0,0,0,0,0.003438175,0.020936761,0,0,0,0.023687717,0.015552376,0.018088626,0.007628045,0,0.045054812,0.035589337,0.024277102,0.003629623,0.010908175,0.014997472,0,0,0,0.010282759,0,0.020196304,0.002145794,0,0,0,0.018915169,0.006760724,0,0.009821926,0.016289424
0.03379952,0.024318736,0,0.055813443,0,0.021186773,0,0,0,0,0,0,0.006136286,0.01747329,0,0.03808372,0,0.014597763,0.031016009,0,0,0,0,0.046284586,0,0.046365503,0.030162638,0,0,0,0,0,0,0.000675589,0.023124257,0,0,0,0.023628928,0.011607518,0.015094197,0.004773386,0,0.042810865,0.038588375,0.025170585,0.001886552,0.012579966,0.016315857,0,0,0,0.008716884,0,0.019380737,0.003313337,0,0,0,0.0225579,0.006610924,0,0.008042946,0.019293107
0.032719854,0.024380857,0,0.055773873,0,0.021377271,0,0,0,0,0,0,0.004602093,0.017224193,0,0.03400157,0,0.016360097,0.033324428,0,0,0,0,0.04632421,0,0.04805052,0.026256265,0,0,0,0,0,0,0.003438175,0.020936761,0,0,0,0.023687717,0.015552376,0.018088626,0.007628045,0,0.045054812,0.035589337,0.024277102,0.003629623,0.010908175,0.014997472,0,0,0,0.010282759,0,0.020196304,0.002145794,0,0,0,0.018915169,0.006760724,0,0.009821926,0.016289424
0.03379952,0.024318736,0,0.055813443,0,0.021186773,0,0,0,0,0,0,0.006136286,0.01747329,0,0.03808372,0,0.014597763,0.031016009,0,0,0,0,0.046284586,0,0.046365503,0.030162638,0,0,0,0,0,0,0.000675589,0.023124257,0,0,0,0.023628928,0.011607518,0.015094197,0.004773386,0,0.042810865,0.038588375,0.025170585,0.001886552,0.012579966,0.016315857,0,0,0,0.008716884,0,0.019380737,0.003313337,0,0,0,0.0225579,0.006610924,0,0.008042946,0.019293107
0.030649751,0.02262921,0,0.05586821,0,0.01930985,0,0,0,0,0.000700824,0,0.004154789,0.016568368,0,0.035300918,0,0.015450709,0.03264906,0,0,0,0,0.0448077,0,0.046462994,0.02692394,0,0,0,0,0,0,0.002403324,0.020465855,0,0,0,0.024842266,0.01629939,0.01593842,0.006364006,0,0.04344949,0.034265783,0.024527453,0.001535915,0.010700574,0.016035134,0,0,0,0.0103237,0,0.018237866,0.00160682,0,0,0,0.018167006,0.005450679,0,0.009603367,0.017115142
0.031672824,0.02331791,0,0.05636693,0,0.020774381,0,0,0,0,0,0,0.006705027,0.015038046,0,0.03789134,0,0.018064138,0.033928458,0,0,0,0,0.045101915,0,0.04681714,0.030291647,0,0,0,0,0,0,0.003171357,0.020730967,0,0,0,0.026117804,0.012008835,0.01328814,0.004230815,0,0.043351494,0.036465243,0.023590667,0.004760892,0.009350817,0.016621267,0,0,0,0.007437643,0,0.019570153,0.003703235,0,0,0,0.021213878,0.006684879,0,0.008379823,0.019190755
0.030649751,0.02262921,0,0.05586821,0,0.01930985,0,0,0,0,0.000700824,0,0.004154789,0.016568368,0,0.035300918,0,0.015450709,0.03264906,0,0,0,0,0.0448077,0,0.046462994,0.02692394,0,0,0,0,0,0,0.002403324,0.020465855,0,0,0,0.024842266,0.01629939,0.01593842,0.006364006,0,0.04344949,0.034265783,0.024527453,0.001535915,0.010700574,0.016035134,0,0,0,0.0103237,0,0.018237866,0.00160682,0,0,0,0.018167006,0.005450679,0,0.009603367,0.017115142
0.031672824,0.02331791,0,0.05636693,0,0.020774381,0,0,0,0,0,0,0.006705027,0.015038046,0,0.03789134,0,0.018064138,0.033928458,0,0,0,0,0.045101915,0,0.04681714,0.030291647,0,0,0,0,0,0,0.003171357,0.020730967,0,0,0,0.026117804,0.012008835,0.01328814,0.004230815,0,0.043351494,0.036465243,0.023590667,0.004760892,0.009350817,0.016621267,0,0,0,0.007437643,0,0.019570153,0.003703235,0,0,0,0.021213878,0.006684879,0,0.008379823,0.019190755
0.030840684,0.022632321,0,0.055615902,0,0.019158764,0,0,0,0,0.00032926,0,0.004658121,0.016062863,0,0.034734875,0,0.016215734,0.033916563,0,0,0,0,0.044698644,0,0.046815813,0.026722394,0,0,0,0,0,0,0.003441189,0.019917363,0,0,0,0.024645945,0.016010262,0.015897034,0.006184236,0,0.043447495,0.03336139,0.024254056,0.002997534,0.009563538,0.015769754,0,0,0,0.010100733,0,0.018347558,0.002169148,0,0,0,0.018932639,0.006627397,0,0.009313121,0.017615188
0.031791896,0.023214877,0,0.056258593,0,0.02132304,0,0,0,0,0,0,0.006805658,0.01571095,0,0.03802158,0,0.016033031,0.032146815,0,0,0,0,0.04497988,0,0.045969762,0.028756395,0,0,0,0,0,0,0.002284211,0.02102529,0,0,0,0.024886707,0.012235398,0.012933263,0.004482812,0,0.043325093,0.036564965,0.022225745,0.003624602,0.00991609,0.016651282,0,0,0,0.008324873,0,0.019122113,0.003551428,0,0,0,0.020186989,0.006377648,0,0.007869899,0.01967792
